Thema,Subthema,Kernwoorden,Synoniemen / Verwante Begrippen
Betrokkenheid bij het alledaagse,Participatie in huishoudelijke taken,"huishoudelijke taken, meehelpen, participatie","deelnemen, samenwerking, activiteiten, klusjes, dagelijkse taken, helpen, betrokken zijn"
Betrokkenheid bij het alledaagse,Eigen regie en betekenisvolle rollen,"eigen regie, verantwoordelijkheid, betekenisvolle bijdrage","zelfstandigheid, eigen initiatief, rol binnen groep, zinvolle deelname, autonomie, empowerment"
Spanningsvolle situaties en reactief handelen,Onvoorspelbaarheid en structuur,"onvoorspelbaarheid, structuur, routine","regelmaat, voorspelbaarheid, dagindeling, duidelijke afspraken, vast patroon, vaste volgorde"
Spanningsvolle situaties en reactief handelen,Corrigerende interventies onder stress,"corrigerend optreden, reactief handelen, escalatie","stressreactie, boosheid, spanning, impulsieve reactie, defensief handelen, corrigeren"
Balans tussen proactief werken en dagelijkse realiteit,Tijdsdruk en personeelskrapte,"werkdruk, tijdsdruk, onderbezetting","personeelstekort, haast, gebrek aan tijd, capaciteitsproblemen, drukte, roosters"
Balans tussen proactief werken en dagelijkse realiteit,Improvisatie versus methodisch werken,"brandjes blussen, improviseren, niet-planmatig","ad hoc handelen, crisismanagement, gebrek aan voorbereiding, methodisch werken, planmatige zorg"
Diversiteit in begeleidingsstijlen en behoefte aan uniformiteit,Individuele aanpak versus teamafspraken,"verschillende aanpakken, stijlverschillen, teamafspraken","coördinatie, samenhang, gedeelde werkwijze, uniforme begeleiding, gezamenlijk beleid"
Diversiteit in begeleidingsstijlen en behoefte aan uniformiteit,Gedeelde visie,"gedeelde visie, eenduidigheid, gezamenlijke aanpak","uniformiteit, collectieve interpretatie, teamvisie, gedeelde doelen, gemeenschappelijke taal"
Behoefte aan ondersteuning bij Triple C,Scholing en training,"training, bijscholing, opfriscursus","nascholing, educatie, instructie, vaardigheidstraining, bijleren, kennisverdieping"
Behoefte aan ondersteuning bij Triple C,Coaching en praktijkondersteuning,"coaching, begeleiding, feedback","intervisie, praktijkbegeleiding, sparren, ondersteuning, supervisie, mentorschap"
